"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"496",2015,19,0,0,233,467
"497",2015,20,0,77,0,482
"498",2015,21,0,0,89,464
"499",2015,22,196,189,137,672
"500",2015,23,0,0,592,0
"501",2015,24,1475,2238,966,3085
"502",2015,25,6438,28647,11978,7867
"503",2015,26,244,314,1091,1860
"504",2015,27,189,0,332,441
"505",2015,28,0,84,116,0
"506",2015,29,156,0,0,1542
"507",2015,31,0,65,0,0
"508",2015,32,588,554,1241,690
"509",2015,33,113,897,382,153
"510",2015,34,3453,8669,4755,7163
"511",2015,35,0,0,0,284
"512",2015,36,2306,5164,3481,8291
"513",2015,37,369,729,1089,2986
"514",2015,38,0,0,0,41
"515",2015,39,62,889,694,1597
"516",2015,40,0,83,0,0
"517",2015,41,335,0,414,780
"518",2015,42,1588,785,508,2301
"519",2015,44,0,274,138,112
"520",2015,45,478,484,797,1096
"521",2015,47,0,0,0,434
"522",2015,48,994,1742,3345,9590
"523",2015,49,0,334,845,1660
"524",2015,50,0,0,74,0
"525",2015,51,115,1377,1752,3505
"526",2015,53,67,1241,654,642
"527",2015,54,0,0,83,43
"528",2015,55,0,187,317,92
"529",2016,1,0,0,0,188
"530",2016,2,147,0,0,0
"531",2016,4,0,124,185,1649
"532",2016,5,0,0,0,72
"533",2016,6,2565,5219,10436,22267
"534",2016,8,56,147,121,1656
"535",2016,9,2009,8012,4508,4860
"536",2016,10,0,212,0,0
"537",2016,11,159,0,0,1091
"538",2016,12,5085,16925,20040,29581
"539",2016,13,1480,2388,2203,4434
"540",2016,15,0,539,375,163
"541",2016,16,0,0,0,120
"542",2016,17,83,555,668,2973
"543",2016,18,119,25,88,536
"544",2016,19,0,0,178,75
"545",2016,20,219,262,0,476
"546",2016,21,0,0,212,893
"547",2016,22,9,639,183,903
"548",2016,23,89,0,0,468
"549",2016,24,1177,1751,2186,3555
"550",2016,25,9487,26276,14302,12779
"551",2016,26,0,277,497,3661
"552",2016,27,0,764,93,778
"553",2016,28,0,0,0,450
"554",2016,29,288,201,550,378
"555",2016,30,0,0,0,16
"556",2016,31,0,0,115,187
"557",2016,32,208,475,695,402
"558",2016,33,69,986,112,902
"559",2016,34,3575,9119,5522,6316
"560",2016,35,0,289,605,367
"561",2016,36,1913,5398,4930,11368
"562",2016,37,753,916,1189,2192
