"","year","state_code","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus"
"231",2009,49,0,0,647,0,405,166,0,316,85,555,173,72,0,88,0,0,0
"232",2009,50,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"233",2009,51,0,104,183,627,195,793,1277,522,517,772,531,132,66,0,0,0,0
"234",2009,53,0,0,161,390,1430,374,844,298,289,119,0,0,0,0,0,0,0
"235",2009,54,0,0,128,0,0,0,0,212,0,68,0,0,0,0,0,0,0
"236",2009,55,0,0,36,0,0,154,0,143,50,0,0,118,0,0,0,0,0
"237",2010,1,0,0,91,387,1116,85,105,0,125,283,0,0,0,0,0,0,0
"238",2010,2,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
"239",2010,4,74,0,86,350,328,48,299,235,71,73,77,96,0,0,0,0,0
"240",2010,5,0,209,673,0,0,0,294,0,0,587,0,0,0,0,0,0,0
"241",2010,6,192,398,2442,1138,5600,4583,3977,4069,3357,1642,1839,408,1298,187,179,244,76
"242",2010,8,0,70,70,0,71,372,63,284,362,150,77,0,74,0,0,0,0
"243",2010,9,0,0,1302,839,2500,3019,3045,1785,1908,1031,1088,789,282,136,0,0,34
"244",2010,10,0,0,0,0,403,0,0,83,0,0,0,207,0,99,0,0,0
"245",2010,11,0,0,0,0,133,81,79,129,0,161,102,111,0,0,0,0,0
"246",2010,12,550,851,3701,4968,5621,9325,7481,8180,9327,6589,4247,2742,1727,607,757,103,404
"247",2010,13,0,100,658,1107,896,1679,1150,1229,924,1037,943,563,203,0,0,0,0
"248",2010,15,0,0,0,0,82,0,28,411,390,105,0,0,0,0,0,0,0
"249",2010,16,0,0,0,0,227,0,91,89,0,0,275,0,0,0,0,0,117
"250",2010,17,99,198,288,329,546,561,650,753,173,796,87,56,228,0,0,0,103
"251",2010,18,0,0,0,0,0,0,205,189,0,0,0,0,0,0,0,0,0
"252",2010,19,0,81,101,0,0,163,115,0,0,0,0,0,0,0,0,0,0
"253",2010,20,0,0,0,72,123,224,0,107,141,0,354,0,0,0,0,0,0
"254",2010,21,102,106,116,96,0,140,472,0,0,0,219,0,0,0,0,0,0
"255",2010,22,0,0,262,0,305,1119,407,518,0,93,121,0,0,0,0,0,0
"256",2010,23,0,0,0,84,405,0,0,0,139,0,0,0,0,0,0,0,0
"257",2010,24,0,118,376,515,204,725,1262,859,597,528,465,382,215,252,467,375,322
"258",2010,25,352,953,4846,4242,11111,13846,10547,11251,8291,4220,2144,743,0,322,176,0,0
"259",2010,26,0,0,413,858,733,331,373,131,21,305,101,0,0,320,86,0,0
"260",2010,27,0,0,24,135,810,712,0,0,151,40,0,0,0,0,0,0,0
"261",2010,28,0,0,0,0,0,0,0,129,61,0,0,0,0,0,0,0,0
"262",2010,29,0,0,124,170,472,0,85,114,535,151,0,0,108,0,0,0,0
"263",2010,30,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0
"264",2010,31,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
"265",2010,32,0,76,0,0,73,196,81,271,242,0,0,0,0,217,266,0,0
"266",2010,33,0,0,0,124,77,354,0,0,0,0,0,0,0,0,0,0,0
"267",2010,34,0,335,2392,2103,4118,4041,6230,3953,3183,2386,1890,1304,643,116,148,0,0
"268",2010,35,0,0,0,0,171,0,0,238,72,0,0,58,0,0,27,43,0
"269",2010,36,74,56,579,1070,2766,3692,3491,1466,3363,2266,1154,786,485,151,199,204,337
"270",2010,37,0,92,892,291,178,711,826,490,438,410,81,86,77,0,77,72,178
"271",2010,39,0,288,281,290,38,274,229,508,149,117,185,158,0,0,46,0,0
"272",2010,40,0,0,0,0,0,127,209,0,197,0,0,0,0,0,0,0,0
"273",2010,41,0,0,75,83,0,0,315,0,106,0,0,0,0,82,0,0,0
"274",2010,42,0,0,1079,926,1564,1283,154,1676,634,390,726,0,333,0,0,0,107
"275",2010,44,0,0,61,80,88,279,0,132,276,200,159,0,0,0,79,0,0
"276",2010,45,0,0,100,287,395,940,0,185,143,443,91,62,0,235,0,0,0
"277",2010,47,0,0,0,223,0,63,267,103,160,81,0,88,0,0,0,0,0
"278",2010,48,0,119,1632,1657,1909,1719,1091,1183,2239,708,532,291,552,0,109,0,0
"279",2010,49,273,190,447,579,1047,395,394,260,292,435,0,0,82,0,74,0,0
"280",2010,50,0,0,0,0,0,0,0,0,0,0,0,196,84,0,0,0,0
"281",2010,51,0,0,207,267,171,646,497,325,259,322,194,61,0,73,0,0,0
"282",2010,53,0,0,302,0,368,659,706,86,720,84,97,65,187,0,0,0,0
"283",2010,54,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0
"284",2010,55,0,0,103,105,466,0,350,253,24,86,133,0,0,0,109,0,0
"285",2011,1,0,0,14,0,235,68,570,442,0,360,98,0,128,69,0,0,0
"286",2011,4,0,185,43,0,242,147,185,225,177,126,248,71,32,207,277,0,0
"287",2011,5,0,0,78,0,46,293,0,0,0,0,0,0,0,0,0,0,0
"288",2011,6,492,78,1551,2950,5912,3981,2885,3546,3286,2965,1226,545,502,482,133,155,1105
"289",2011,8,0,0,128,57,0,245,768,189,94,0,0,80,0,0,0,0,0
"290",2011,9,0,218,471,571,1455,2093,1245,1710,2013,701,604,165,78,218,157,0,0
"291",2011,10,0,0,0,0,0,669,0,0,562,0,0,0,0,0,0,0,116
"292",2011,11,0,0,0,0,238,347,56,220,72,0,0,146,0,0,0,0,0
"293",2011,12,0,860,5973,4067,7104,8105,9211,9136,8020,4660,4134,3532,1679,704,761,91,379
"294",2011,13,192,293,73,613,1794,537,2046,161,825,907,306,213,0,0,0,0,0
"295",2011,15,168,0,388,285,223,28,0,267,89,0,0,0,0,0,0,0,0
"296",2011,16,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
"297",2011,17,0,98,179,184,589,497,532,0,178,505,408,398,188,0,0,0,0
"298",2011,18,0,0,228,203,482,0,79,0,381,180,171,0,0,0,0,0,74
"299",2011,19,0,0,131,0,0,0,0,0,0,62,0,0,0,0,0,0,0
"300",2011,20,0,0,152,0,0,0,249,0,173,0,19,0,0,0,0,0,0
"301",2011,21,0,0,0,0,151,0,0,298,0,0,0,0,0,0,0,0,0
"302",2011,22,0,0,194,0,41,132,148,21,106,0,51,17,18,0,0,0,0
"303",2011,23,0,0,0,0,0,76,39,0,90,0,0,0,0,0,0,0,0
"304",2011,24,0,134,1819,462,878,992,1859,2722,1275,164,437,136,457,157,52,0,0
