"","year","state_code","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2"
"333",2012,1,0,0,0,0,0,0,0,0,0,0
"334",2012,2,0,0,0,0,0,0,0,0,0,63
"335",2012,4,0,515,933,0,0,0,0,0,152,43
"336",2012,5,0,124,0,0,0,0,0,0,0,0
"337",2012,6,0,7442,6082,580,0,1890,0,2460,869,170
"338",2012,8,0,816,537,0,0,140,0,65,0,0
"339",2012,9,0,6432,1744,2027,0,909,0,264,94,69
"340",2012,10,0,150,0,115,0,0,0,0,0,0
"341",2012,11,0,341,140,0,0,59,0,246,0,0
"342",2012,12,0,12049,15305,3075,0,2719,0,932,1482,827
"343",2012,13,0,2712,881,809,0,532,0,121,255,356
"344",2012,15,0,135,319,0,0,0,0,146,0,0
"345",2012,16,0,125,0,0,0,0,0,0,71,0
"346",2012,17,0,773,261,0,0,660,0,416,0,389
"347",2012,18,0,247,337,0,0,91,0,0,0,0
"348",2012,19,0,0,0,0,0,0,0,0,0,0
"349",2012,20,0,88,0,0,0,91,0,0,0,0
"350",2012,21,0,0,72,0,0,0,0,72,0,0
"351",2012,22,0,124,87,688,0,0,0,0,0,0
"352",2012,23,0,23,0,0,0,0,0,0,0,0
"353",2012,24,0,2543,565,258,0,125,0,125,160,0
"354",2012,25,0,20083,6825,6799,0,3885,0,376,725,1010
"355",2012,26,0,279,769,0,0,338,0,0,0,213
"356",2012,27,0,42,392,0,0,0,0,0,137,0
"357",2012,28,0,0,68,0,0,0,0,52,0,0
"358",2012,29,0,120,28,0,0,144,0,91,0,0
"359",2012,31,0,261,0,0,0,0,0,0,0,0
"360",2012,32,0,805,178,64,0,30,0,133,0,0
"361",2012,33,0,1011,152,128,0,239,0,0,0,0
"362",2012,34,0,7822,2778,4143,0,1733,0,165,242,428
"363",2012,35,0,0,0,0,0,0,0,191,0,0
"364",2012,36,0,5569,4019,1675,0,1130,0,1722,867,0
"365",2012,37,0,888,1788,0,0,322,0,0,0,0
"366",2012,38,0,26,0,0,0,0,0,0,0,0
"367",2012,39,0,406,43,730,0,0,0,0,0,0
"368",2012,40,0,50,74,0,0,126,0,0,0,0
"369",2012,41,0,433,398,0,0,103,0,0,0,0
"370",2012,42,0,3133,969,1127,0,262,0,828,220,0
"371",2012,44,0,65,131,0,0,0,0,0,0,0
"372",2012,45,0,220,374,1175,0,0,0,0,0,239
"373",2012,46,0,0,0,0,0,0,0,0,0,0
"374",2012,47,0,0,0,0,0,135,0,0,0,0
"375",2012,48,0,1715,3491,0,0,862,0,217,106,0
"376",2012,49,0,1194,732,109,0,484,0,81,0,0
"377",2012,50,0,0,119,0,0,0,0,0,123,0
"378",2012,51,0,652,347,53,0,294,0,166,59,0
"379",2012,53,0,104,635,167,0,251,0,0,0,330
"380",2012,54,0,0,0,0,0,0,0,0,163,0
"381",2012,55,0,0,0,156,0,54,0,131,0,0
"382",2012,56,0,0,45,0,0,54,0,0,0,0
"383",2013,1,0,0,54,0,0,291,0,0,0,0
"384",2013,2,0,0,43,235,0,0,0,0,0,68
"385",2013,4,0,359,575,0,0,0,0,0,181,77
"386",2013,5,0,0,210,0,0,0,0,0,0,0
"387",2013,6,0,7516,4448,318,0,3427,0,2008,678,322
"388",2013,8,0,364,182,0,0,73,0,63,120,0
"389",2013,9,0,4537,1175,3354,0,946,0,337,535,107
"390",2013,10,0,0,0,0,0,0,0,0,0,0
"391",2013,11,0,317,160,0,0,0,0,0,0,0
"392",2013,12,0,11875,14483,4225,0,2931,0,1094,1829,569
"393",2013,13,0,2116,1558,424,0,0,0,156,434,43
"394",2013,15,0,187,0,0,0,45,0,27,0,0
"395",2013,16,0,0,0,0,0,0,0,0,0,0
"396",2013,17,0,426,610,78,0,182,0,103,243,0
"397",2013,18,0,269,210,0,0,82,0,0,143,0
"398",2013,19,0,378,0,0,0,0,0,0,0,0
"399",2013,20,0,246,0,0,0,0,0,0,0,0
"400",2013,21,0,0,124,0,0,0,0,0,0,0
"401",2013,22,0,138,218,440,0,0,0,0,0,0
"402",2013,23,0,229,0,0,0,134,0,0,0,0
"403",2013,24,0,1114,637,759,0,0,0,230,0,0
"404",2013,25,0,23475,7267,7652,0,4947,0,626,1052,814
"405",2013,26,0,238,514,0,0,0,0,88,137,0
"406",2013,27,0,134,230,0,0,0,0,102,96,0
"407",2013,29,0,115,147,0,0,135,0,0,117,0
"408",2013,30,0,39,0,194,0,0,0,0,0,0
"409",2013,31,0,0,0,0,0,0,0,0,0,0
"410",2013,32,0,167,301,0,0,0,0,0,0,0
"411",2013,33,0,477,125,0,0,183,0,0,193,0
"412",2013,34,0,8295,3568,5346,0,2240,0,230,314,606
"413",2013,35,0,0,251,0,0,0,0,0,0,0
"414",2013,36,0,5546,3990,1958,0,1070,0,2210,58,0
"415",2013,37,0,956,275,0,0,0,0,0,0,0
"416",2013,38,0,0,137,0,0,0,0,0,0,199
"417",2013,39,0,388,194,136,0,400,0,0,309,196
"418",2013,40,0,0,39,0,0,39,0,0,0,0
"419",2013,41,0,0,370,0,0,174,0,116,23,0
"420",2013,42,0,646,863,313,0,623,0,167,120,168
"421",2013,44,0,512,231,335,0,115,0,0,0,0
"422",2013,45,0,566,0,1182,0,200,0,220,0,0
"423",2013,47,0,123,234,11,0,0,0,0,126,0
"424",2013,48,0,1970,2420,403,0,434,0,376,709,146
"425",2013,49,0,257,1075,0,0,427,0,50,0,0
"426",2013,50,0,0,0,0,0,52,0,0,0,0
"427",2013,51,0,1010,653,586,0,188,0,0,225,0
"428",2013,53,0,588,550,144,0,389,0,38,115,149
"429",2013,54,0,12,0,0,0,0,0,0,0,0
"430",2013,55,0,513,150,46,0,0,0,0,0,0
"431",2013,56,0,0,0,0,0,20,0,0,0,0
"432",2014,1,367,79,63,0,0,0,219,213,0,0
"433",2014,2,0,59,0,0,0,0,64,0,0,0
"434",2014,4,1763,294,214,0,0,225,135,0,444,0
"435",2014,5,386,0,179,0,0,0,79,0,0,0
"436",2014,6,15236,6278,5077,352,54,1573,1186,1984,664,193
"437",2014,8,1725,71,67,254,0,0,0,0,0,0
"438",2014,9,4369,4470,1022,2644,148,637,74,352,0,69
"439",2014,10,54,67,0,0,0,0,0,0,0,0
"440",2014,11,642,59,208,59,0,0,0,0,153,0
"441",2014,12,28581,12482,9531,3820,1106,3248,1712,1345,2472,651
"442",2014,13,2668,2434,1152,54,0,257,156,209,61,140
"443",2014,15,179,93,0,26,0,0,101,0,67,0
"444",2014,16,34,63,0,0,0,44,0,0,0,0
"445",2014,17,1715,424,1153,0,0,143,456,314,39,0
"446",2014,18,391,237,26,0,0,250,105,0,0,0
"447",2014,19,338,0,154,0,0,0,116,0,0,0
"448",2014,20,133,444,0,0,0,0,0,0,28,0
"449",2014,21,564,0,0,0,0,0,14,0,0,0
"450",2014,22,847,1253,451,729,0,142,0,0,0,445
"451",2014,23,0,180,0,0,0,0,0,0,0,0
"452",2014,24,2260,1070,1101,105,143,249,407,230,0,0
"453",2014,25,12938,21311,4552,8852,1280,6007,690,873,590,634
"454",2014,26,3280,342,477,0,0,567,213,394,0,0
"455",2014,27,1771,0,252,204,0,0,0,321,431,376
"456",2014,28,236,0,131,39,0,0,191,0,0,0
"457",2014,29,804,338,159,0,0,0,447,0,134,0
"458",2014,31,126,0,137,0,0,0,0,0,0,0
"459",2014,32,1237,900,895,183,360,117,0,684,0,0
"460",2014,33,1103,417,110,0,267,945,67,0,0,0
"461",2014,34,9373,7214,3284,4807,597,3218,1189,286,304,185
"462",2014,35,584,174,375,0,0,0,165,0,0,0
